,筆跡鑑定という仕事,images/motokazu_back-01.png,audio/hard_2.mp3,筆跡鑑定家は古筆見 [こひつみ] あるいは古筆目利 [こ ひつ め きき] と呼ばれました。古筆を書いた人物は存在しますが、それをすべて明らかにすることは不可能です。しかし鑑定家たちはそれを行わなくてはならない存在でした。書写の古いものほど鑑定に誤りが多いことは事実ですが、その鑑定に至った理由を考えてゆくと、彼らが情報の蓄積と訓練と研究の中から、理由ある嘘を付こうと苦闘していたことを理解することができます。鑑定結果は正しくなくても、切の書写時期と鑑定の人物の時代の一致率が高いことは、従来も認められてきたことです。鑑定することを「極める」と言いますが、彼らなりの追究を行っていたのです。鑑定結果を文化事象として捉えることによって、新たに見えてくることや理解できることは、決して少なくないのです。<br>このセクション2 では、鑑定という行為の中で編纂され、また鑑定のために利用されてきた一覧や辞典、古筆手鑑を製作する際の手引きなどの、鑑定という行為にまつわる様々な工具書的資料を御紹介します。
7,本朝古今名公古筆諸流（萬宝全書5の内）,<img src='images/sec2/7_1.jpg' alt=''><img src='images/sec2/7_2.jpg' alt=''><img src='images/sec2/7_3.jpg' alt=''><img src='images/sec2/7_4.jpg' alt=''><img src='images/sec2/7_5.jpg' alt=''>,audio/hard_2_7.mp3,筆跡を鑑定するには、紙の時代と書の流派を見極めることが大切とされます。書道（古くは入木道[じゅぼくどう]と呼ばれます）は芸道ですので、師の文字を弟子が真似て自ずと流派が形成されました。古筆鑑定家たちは、古筆をたくさん見て、書風によって流派を分類して名称を付し、それぞれに属する人物を整理して、日本の書道史を把握して、鑑定に利用しました。こうしてできたのが「書流系譜」で、次第に改訂増補されていきました。<br>元禄7 年（1694）刊の『萬宝全書』13 冊の第5 冊に収載された「本朝古今名公古筆諸流」は、諸流系譜の初期段階のもので、最初に有名な「本朝三筆」と「本朝三蹟」があり、続けて28 の流派が列挙され、流祖名に続いて、その流に属する人名が並んでいます。<br>「書流系譜」類は、現在でも参考になる点が多い貴重な資料です。
8,古筆分流,<img src='images/sec2/8_1.jpg' alt=''><img src='images/sec2/8_2.jpg' alt=''><img src='images/sec2/8_3.jpg' alt=''><img src='images/sec2/8_4.jpg' alt=''><img src='images/sec2/8_5.jpg' alt=''><img src='images/sec2/8_6.jpg' alt=''>,audio/hard_2_8.mp3,後補表紙の下の元共紙[ともがみ]表紙の中央に「古筆分流」と書かれるのみで、誰の作とも知れず、類本も見当たらない「書流系譜」の写本です。最初に「一流物」として、判定しやすい人物が60 名列挙され、続いて「上代流」・「弘法大師流」・「法性寺忠通[ほっしょうじ ただみち]―（流）」・「定家―」など、40 の流派名と各々に属する人名が列記されます。17 世紀頃までの人名が見えますが、各流派の人数も少なく、かなり簡略なものです。<br>判定が容易な60人の顔ぶれはなかなかに興味深く、山崎宗鑑 [やまざき そうかん]・橋本公夏 [はしもときんなつ]・聖護院道増 [しょう ご いん どうぞう ]・里村紹巴 [さとむら じょう は]など、癖字で著名な人名が並び、容易である理由も大いに納得させられます。旧蔵者である小松茂美[こまつ しげみ]博士の『日本書流全史上』（講談社、1970）に翻刻があります。日本画家の久保田米斎（1874-1937）などの蔵書印が捺されています。
9,手鑑行列,<img src='images/sec2/9_1.jpg' alt=''>,audio/hard_2_9.mp3,古筆見たちは古筆手鑑の作製も行っていたと思われます。極札が統一された手鑑は、古筆見が関与した可能性が高いと言えます。手鑑は切を筆者の身分や職種などで分類し、身分順で貼るのが基本ですが、一部特殊な約束もありました。そうした面倒な法則を知らなくても、手鑑を作ることができる参考書が「手鑑行列」です。<br>上下2 段構成になっており、上段が手鑑の表面、下段は裏面を意味します。分類名を掲げてから、そこに属する人名や家名を手鑑に貼るべき順に列挙しています。この本には表383、裏367、計750もの名が記されています。集めた切・短冊をこの順に貼り込めば、正統的な手鑑が簡単に完成するのです。末尾に特殊な法則の説明もあり、古筆手鑑を考える上で参考になります。古筆リストの「名葉集[めいようしゅう]」で代用可能なためか、出版はされていません。
10,古筆要書2巻,<img src='images/sec2/10_1.jpg' alt=''>,audio/hard_2_10.mp3,「手鑑行列」と同じ法則で並んだ人名に、その筆跡とされる古筆切を掲出した、筆者別古筆切リストを「古筆名葉集[こひつめいようしゅう]」と総称します。版本が有名ですが、幾種類かの写本も存在します。写本は小ぶりの横本が目立ち、この小松茂美博士旧蔵本もその一例です。表紙に「古筆要書 乾（坤）」とあるのみで、誰の編とも知れません。<br>「名葉集」版本と比較すると、銘のある名物切数が少ない代わりに、模様を模写するなど紙の説明が詳しく、身分の分類表示があり、人名に略伝や書流の注記があるなど、かなりの性格の違いが確認できます。人名のみの項目もあり、「手鑑行列」と折衷的な性格も感じられます。天皇は「後西院」まで見えています。「名葉集」版本完成までの過渡的な様子がうかがえるようです。
11,古筆名物切,<img src='images/sec2/11_1.jpg' alt=''><img src='images/sec2/11_2.jpg' alt=''><img src='images/sec2/11_3.jpg' alt=''><img src='images/sec2/11_4.jpg' alt=''>,audio/hard_2_11.mp3,古筆切のリストは、版本「古筆名葉集」のように手帳サイズが目立ちます。「名葉集」は手鑑と同じ法則で人名が並びますが、これは「太子」（聖徳）・「聖廟」（道真）・「貫之」と、了佐の時代に名物と認定された著名な切の筆者約260 名が列挙されます。天皇は「光厳」まで見えます。切の説明は「名葉集」に比べ簡略ですが、名物切の範疇を伝えていて貴重な資料です。<br>「古筆名物切」の内題の左下に「神田道伴[かんだどうはん]自筆ヲ見ル」とあり、古筆家から独立した神田家の第4 代道伴（1678-1749）の関与が推測されます。人名の右肩にある漢数字は、その人物の没年と足すと多くが1717となり、道伴筆本は享保2 年の書写であったと推測できます。京都市歴史資料館にはこの数字のない横本型の賀茂季鷹所持本があります。
12,古筆類葉集,<img src='images/sec2/12_1.jpg' alt=''><img src='images/sec2/12_2.jpg' alt=''><img src='images/sec2/12_3.jpg' alt=''><img src='images/sec2/12_4.jpg' alt=''>,audio/hard_2_12.mp3,手帳サイズが多い古筆切リストの中で、大ぶりな伝本が目立つのが『古筆類葉集』です。扉に「古筆類葉集了延撰 全」とあり、7 代了延[りょうえん]（1704-1774）の編と分かります。古筆家内で集積された情報を伝えるものとして貴重です。<br>この本は、義塾出身の実業家朝吹英二[あさぶき えいじ]の旧蔵本で、末尾近くに「于時明和七（1770）寅歳五月写之」と名のない本奥書があり、最末尾には「天保五午季孟春／住吉廣（花押）」とあります。幕府御用絵師住吉家7 代廣定 [ひろさだ]（後弘貫 [ひろつら]、1793-1862）の書写あるいは所蔵本と思われます。人名の排列が手鑑の順であるのは版本「古筆名葉集」と同様ですが、「勅筆」・「親王」など区分名があり、固有の銘を有する切が少ないなどの特徴があります。異本注記を含む朱の書入れが多い点が注目されます。天皇は後水尾院[ごみずの おいん]（1596-1680）までです。
13,〔版本古筆名葉集類〕,<img src='images/sec2/13_1.jpg' alt=''><img src='images/sec2/13_2.jpg' alt=''><img src='images/sec2/13_3.jpg' alt=''><img src='images/sec2/13_4.jpg' alt=''><img src='images/sec2/13_5.jpg' alt=''><img src='images/sec2/13_6.jpg' alt=''><img src='images/sec2/13_7.jpg' alt=''>,audio/hard_2_13.mp3,古筆切リストにして手鑑行列の役割を兼ねる『古筆名葉集』は、文化5 年刊行以来明治18 年まで度々増補され何度も印行されました。少しずつ異なる多種類が確認でき、 人気のほどが窺えます。今回は、１．陶々居編『古筆名葉集』文化5 年京 中村半兵衛・中川藤四郎刊（ 個人蔵）16.5×9.1cm、２．同 同年同書肆刊（ 文庫追加013）16.2×9.0cm、３．同 文政11年（1828）青藜館[せいれんかん]主人跋刊（BK-CEN-0066978）16.5× 9.2cm、４．塙忠宝[はなわ ただとみ]増補『増補古筆名葉集』安政5 年（1858）序刊（ セコ典012）16.0×8.5cm 薄葉刷[うすようずり]、５．同（外題「新撰古筆名葉集」）安政5 年（1858）序刊（BK- CEN-0066956）16.0×8.5cm 薄葉刷、６．古筆了 仲[りょうちゅう」]編『増補古筆名葉集』（外題「新撰古筆名葉集」・見返題「増補新撰古筆名葉集」）明治18 年序刊（個人蔵） 14.9×8.4cm、７．同（見返し題なし）明治18 年坂昌員[さかしょういん] 刊（セコ典007）16.5×8.7cm の7 種を並べてみました。<br>４．７．は古筆家旧蔵で、４．には漏れが多く順序も錯乱していると批判する朱筆識語があり、書き入れも目立ちます。
14,昭和古筆名葉集,<img src='images/sec2/14_1.jpg' alt=''><img src='images/sec2/14_2.jpg' alt=''><img src='images/sec2/14_3.jpg' alt=''>,audio/hard_2_14.mp3,編者の田中塊堂（1896-1976）は写経研究でも著名な書家です。この『昭和古筆名葉集』は、古筆別家系の版本『新撰古筆名葉集』の内容に、本家の秘帖という「翰墨林」の内容や、新しい名物の情報を約 100 点追加しており、その部分には「〇」記号が加えられています。両古筆家の情報を統合した「名葉集」の決定判とも言うべきもので、塊堂も「本集ニ於テ始メテ名物切ヲ網羅シ得タリ」と自讃しています。<br>9 代了意[りょうい]（1751-1834）撰で10 代了伴[りょうはん]（1790-1853） が増補した、書画を遺した人物の忌日一覧である、嘉永元年（1848）刊『思ひよる日』を利用して、筆者名に没年齢を加えています。慶應3 年（1867）再刻『和漢書画古筆鑑定家印譜』の複製を折込にするなど、江戸時代の古筆関連情報の集成となっており、現在でも重宝されています。
15,〔写本名葉集〕,<img src='images/sec2/15_1.jpg' alt=''><img src='images/sec2/15_2.jpg' alt=''><img src='images/sec2/15_3.jpg' alt=''>,audio/hard_2_15.mp3,奉書の保護紙に包まれた、寸法も区々な仮綴の横本ですが、古筆家の最重要資料の一つです。外題内題共になく、表紙中央（1冊目は異筆で左肩）の古筆家特有の筆跡の墨書と、左下の朱の漢数字を列記すると、「宸翰（一）・親王宮方（二）・公卿（四）・上代公卿（五）・二條家（六）・武家（七）・女筆并／社人（八）・釈門」となります。摂家・清華家・大臣家部分の2 冊目の他、世尊寺家や連歌師なども不足しているようです。おおよそ手鑑の順で人名を並べ、切名と説明を列挙しますが、全体的に情報が詳しく、朱墨の書き入れや貼紙も目立ちます。各項目の多くに意味不明の墨印が捺されています。また下部には歴代の古筆見の略称が朱筆で書き入れられ、10 代了伴（1790- 1853）まで確認できます。天皇は霊元院までで、「明正院天皇[めいしょういんてんのう]」が補記されています。今後の詳細な研究が必要な資料です。
16,古筆俳諧短冊,<img src='images/sec2/16_1.jpg' alt=''><img src='images/sec2/16_2.jpg' alt=''><img src='images/sec2/16_3.jpg' alt=''><img src='images/sec2/16_4.jpg' alt=''>,audio/hard_2_16.mp3,鑑定には比較材料が必須です。古筆見たちは切や短冊の現物に加えて、様々な筆跡類を原寸大で模写して収集してもいました。古筆家資料にも、何千枚もの膨大な模写が存しています。幕末以降の写のようですが、原品が失われたものもあるはずで、史料価値は高いと思われます。<br>これはその一例で、「古筆俳諧短冊」と題された仮綴じの3 冊に、計804 枚の俳諧短冊が模写されています。珍しい俳諧に限定した手鑑であることと、枚数が多いことから、幸いに原本が現存していることが確認できました。ご所蔵者永井一彰氏編の『俳諧短冊手鑑』（八木書店、2015）に影印があり、短冊の上部に書き入れられた注記は、貼紙や短冊の裏書きを転記したものであることが分かります。3 帖の手鑑の外題は10 代了伴（1790-1853）筆ですが、こちらの題字は12代了悦（1831-1894）筆でしょうか。題名が異なっていることの理由が気になります。
