,古筆本家の人々,images/motokazu_back-01.png,audio/easy_3.mp3,初めて筆跡鑑定を職業にした古筆了佐は、京に出て鑑定や和歌を戦国末期の公卿 [くぎょう]、近衛前久 [このえ さきひさ]や 江戸初期の公卿・歌人の烏丸光広 [からすまる みつひろ]に学んだんだ。光広に勧められて鑑定家となり、古筆を熱烈に愛好した豊臣秀次から、古筆の姓と「琴山 」の鑑定印を賜ったと伝えられているよ。<br>子孫は本家と別家に分かれたんだけど、ともに徳川幕府に召し抱えられて、近代を迎えたよ。本家は13 代で昭和20 年代まで、別家は15 代で昭和初年ころまで、鑑定の業を行っていたんだって。<br>このセクション3では、古筆本家と別家、そして門弟系の鑑定家たちと、彼らが使用した鑑定印を一覧することのできる、版行された「古筆鑑定家印譜」類6点を前半に集めているよ。<br>また後半は古筆家旧蔵の、初代了佐・5 代  了珉・9 代了意の肖像画、一絲 文守[いっし ぶんしゅ]自筆の了佐道号「櫟材 [れきざい]」の字説、了佐・2 代 了 栄・3 代 了 祐[りょうゆう]の真筆[しんぴつ]資料を紹介していくよ。
20,新板古筆目利名寄極印鑑,<img src='images/sec3/20_1.jpg' alt=''><img src='images/sec3/20_2.jpg' alt=''>,audio/easy_3_20.mp3,7代了延（1704-1774）門人の井狩源右衛門[いかり げんえもん]編の、古筆目利の一覧にその鑑定印を原寸大で模刻して加えたものです。後に定着する系譜形式をとらず、末尾に鑑定を職業としない、「大徳寺真珠庵兼首座 [だいとくじ しんじゅあんけんしゅそ]」・「同玄首座 [どうげんしゅそ]」があるのが特徴です。刊記部分に「検討が不十分で増補をすべきである」と記しているのも納得できる内容です。しかし、長く重宝されている「古筆鑑定印譜」類の祖として注目できる存在であると言えます。
21,増補和漢書画古筆鑑定家印譜,<img src='images/sec3/21_1.jpg' alt=''>,audio/easy_3_21.mp3,『古筆目利名寄極印鑑』から約100年経った天保6年に、大幅な増補改訂を加えて、幽雅堂蔵版として刊行されたのが、この『増補和漢書画古筆鑑定家印譜 [ぞうほわかんしょがこひつかんていかいんぷ]』です。 血縁・子弟関係を系譜として示すところに新しさがあります。4段構成になっており、最上段は右から左に、 2段目は左から右に、3段目は右から左にとジグザクに続くほか、垂直につながるものもあります。全体的に工夫に満ちた一枚と言えますが、具体的な刊行の経緯などは不明です。
22,和漢書画古筆鑑定家系譜並印章,<img src='images/sec3/22_1.jpg' alt=''><img src='images/sec3/22_2.jpg' alt=''>,audio/easy_3_22.mp3,10代了伴（1790-1853）が監修し、京都の釜鍬堂蔵板 [ふしゅうどう ぞうはん] で、同じく京都の小川源兵衛と大文字屋重兵衛 [だいもんじや じゅうべえ]が天保7 年に発行したものです。内容は前年刊の『増補和漢書画古筆鑑定家印譜』と全く同じですが、「釜鍬堂」と「幽雅堂」の素性が不明のため、許可を得ての刊行であるかどうかは分かっていません。本屋仲間 [ほんやなかま] に所属した書肆同志であれば許されないことですが、「蔵版」は私家版的なものなので、このようなことが可能であったものと考えられます。間似合紙 [まにあいがみ] を使用しており、販売時に入れられていた袋も残っていて貴重です。
23,補正和漢書画古筆鑑定家印譜3種,<img src='images/sec3/23_1.jpg' alt=''><img src='images/sec3/23_2.jpg' alt=''>,audio/easy_3_23.mp3,天保7年刊の「和漢書画古筆鑑定家印譜[わかんしょがこひつかんていかいんぷ]」に「補正」の文字を加えただけでなく、その間に10代了伴に出版の許可を得たことを強調しているあたり、何か問題があったことを窺わせます。系譜形式を継承しつつも、古筆本家を上段に、別家を中段に置き、「門人系」も整理しなおし、僧侶や絵師を削除して、慶應3年に再刻したもので、鑑定家印譜の決定版と言えるものです。 
24,古筆了佐像,<img src='images/sec3/24_1.jpg' alt=''><img src='images/sec3/24_2.jpg' alt=''><img src='images/sec3/24_3.jpg' alt=''><img src='images/sec3/24_4.jpg' alt=''>,audio/easy_3_24.mp3,安田靫彦[やすだ ゆきひこ]（1884-1978）は、東京美術学校教授で芸術院会員、文化勲章を受章した大正・昭和期を代表する日本画家の一人で、歴史上の人物を描くのを得意としました。 この紙本淡彩 [しほんたんさい]の了佐像は、右下に「模古筆家伝来木像／靫彦」とあるように、古筆家伝来の木像を模したとわかります。 上部中央に「琴山[きんざん]」墨印を捺し、その下に記された文からは関東大震災で了佐像が失われたために、了信が靫彦に依頼して制作されたものであることがわかります。
25,櫟材字説,<img src='images/sec3/25_1.jpg' alt=''><img src='images/sec3/25_2.jpg' alt=''>,audio/easy_3_25.mp3,一絲文守[いっし ぶんしゅ]（1608−1646）は、公家の岩倉具堯[いわくら ともたか] の子で、真言僧として出家し、沢庵宗彭[たくあん そうほう] の影響で臨済宗に転宗しました。これは、了佐から禅僧の道号を求められて「櫟材[れきざい]」名を与えたのに対し、その意味の解説を要求された文守が、寛永16 年4 月16日に書き送ったものです。 櫟[くぬぎ] は樗[おうち] と共に、役に立たない材木であるが、それ故に伐られずにすんでいる、役に立とうなどと考えずに、櫟材であることに徹することが悟の姿を保つ方法だと、『荘子[そうじ] 』他の漢籍を踏まえて説いています。
26,狂歌二首懐紙,<img src='images/sec3/26_1.jpg' alt=''><img src='images/sec3/26_2.jpg' alt=''><img src='images/sec3/26_3.jpg' alt=''>,audio/easy_3_26.mp3,古筆了佐が承応3年3月5日に、茶師の商売繁盛と子孫繁栄を願って詠んだ狂歌2首を記した1幅です。 巻止に10代了伴（1790−1853）筆で、「了佐居士 八十三才筆宇治茶師上林春松[かんばやししゅんしょう] ハ居士之婿也今ニ子孫モ春松ト云 了伴」とあり、了佐が婿の宇治の上林春松のために詠んだと判明します。了伴は上林家にも同様の幅があると書き添えています。また13代了信 （1876−1953）が、大正12年（1923）の関東大震災後 に、茶人の如春庵森川勘一郎[しょしゅんあん もりかわ かんいちろう] （1887−1980）に見せたと書き加え、翌年10月に「元祖了佐居士」筆とする極札も作成しています。
27,古筆了珉像,<img src='images/sec3/27_1.jpg' alt=''><img src='images/sec3/27_2.jpg' alt=''><img src='images/sec3/27_3.jpg' alt=''><img src='images/sec3/27_4.jpg' alt=''>,audio/easy_3_27.mp3,古筆家5代了珉重政[りょうみん しげまさ]（後に光就 [みつなり]）（1645−1701）は了佐5男了雪（1612−1675）の息で、4 代了周（1670−1686）早世後に本家を継ぎました。 脇差[わきさし]を左前に置いた法体[ほったい]の坐像が、専門の絵師により絹本著色で描かれ、上部に元禄15年正月19日付の東福寺245世松隠玄棟[しょういん げんとう]の長文の讃があります。蓋裏に9代了意によって、6代了音は肖像が無いので、親子だから面影は似通っているだろうと、その忌日にこの了珉像に茶を供えていたことが、文政5年（1822）に詠んだ和歌1首と共に記されています。
28,古筆了意像,<img src='images/sec3/28_1.jpg' alt=''><img src='images/sec3/28_2.jpg' alt=''><img src='images/sec3/28_3.jpg' alt=''>,audio/easy_3_28.mp3,古筆家9代了意最長[りょうい よしなが]は、長男で、8代了泉没後に古筆家を相続しました。彼は長く活躍し、鑑定書も多く遺しています。 上部には禅の有名な画題である円相、下部にはかなり控えめに墨画の自画像が配されています。曲げた右膝に筆を握った右手を置き、机に左臂を突いて頬杖をする坐像です。
29,古筆了栄和歌短冊,<img src='images/sec3/29_1.jpg' alt=''><img src='images/sec3/29_2.jpg' alt=''><img src='images/sec3/29_3.jpg' alt=''>,audio/easy_3_29.mp3,この短冊は、上藍・下紫[うえあい・したむらさき]と定式に則って雲紙[くもがみ]を使用し、和歌を記しています。了栄の筆跡は父に似て、あまり上手い字とは言えません。裏に「講和結了之秋彼岸の記念」と書かれた13代古筆了信の極札が付属します。そこにある 「辛卯九[かのとうく]」とは1951年9月で、これが9月8日に調印されたサンフランシスコ平和条約のことと分かります。
